Key,Русский,English,繁體中文
Lvl1.Text1,"Мадемуазель Софи, вот вы где! Опять на чердаке. Будто своей комнаты у вас нет.","Mademoiselle Sophie, there you are! In the attic again. As if you don’t have a room of your own.",索菲小姐，可算找到您了！您又跑到閣樓裡來了，不知道的還以為您沒有自己的房間呢。
Lvl1.Text2,"В своей комнате мне не так спокойно, как здесь.",It’s not as peaceful in my room as it is up here.,我的房間沒有這裡這麼清淨。
Lvl1.Text3,"И, разумеется, снова провели целый день в чтении. Что на этот раз? ""Гордость и предубеждение""? Эта книжка, похоже, никогда не выйдет из моды.","And of course, you’ve spent the whole day reading again. What is it this time? ""Pride and Prejudice""? That book seems like it’ll never go out of fashion.",瞧瞧，您又看了一天的書吧。這次又是哪本？《傲慢與偏見》嗎？ 那本書好像永遠不會過時一樣。
Lvl1.Text4,"Готова поспорить, маленькие дамы будут зачитываться ею и через двести лет — если, конечно, не появится чего-нибудь похуже.",I bet young ladies will still be reading it two hundred years from now — unless something worse comes along.,您信不信，哪怕過了兩百年，年輕小姐們保准還是在讀這一本——除非出了什麼更糟糕的書。
Lvl1.Text5,"Говорите так, будто сами не читали.",You say that as if you haven’t read it yourself.,這話聽起來，像是您自己還沒讀過這書。
Lvl1.Text6,"Читала. Но я читала и многое другое, мадемуазель. Кстати, вы уже закончили все, что вам было задано?","I have. But I’ve read a great deal more than just that, mademoiselle. By the way, have you finished everything you were assigned?",我讀過。但我讀過的書遠遠不止這一本，小姐。話說回來，給您布置的作業都做完了嗎？
Lvl1.Text7,"Я прочла ""Илиаду"" и принялась за ""Энеиду""…","I read the ""Iliad"" and started on the ""Aeneid""…",《伊利亞德》讀完了， 《埃涅阿斯紀》已經開始……
Lvl1.Text8,"Прекрасно. Но ведь вы понимаете, что вашему отцу, как известному математику, куда важнее другое.","Excellent. But you do realize that your father, as a renowned mathematician, has other priorities for you.",好極了。但小姐心裡應該明白，令尊身為數學名家，對您有著更高的期待。
Lvl1.Text9,"Лучше бы моему отцу было важно заклеить стену на чердаке обоями, а не увешивать ее рукописями с какими-то непонятными формулами.",I wish my father cared more about putting wallpaper on the attic wall than covering it with manuscripts full of strange formulas.,我倒寧願父親多花些心思，給閣樓貼個壁紙，總好過被打滿一牆全是奇怪符號的草稿。
Lvl1.Text10,"Мадемуазель, кроме вас, сюда никто не поднимается. И поверьте, этот небольшой клочок голой стены не тревожит ни единой души.","Mademoiselle, no one else comes up here besides you. And believe me, that little patch of bare wall troubles no one.",小姐，除了您，這裡也沒人會上來了。說實在的，牆上空著的那點地方根本就不礙事。
Lvl1.Text11,"А вот если вы не дочитаете следующий раздел у Лежандра, многие расстроятся.","But if you don’t finish the next section of Legendre, many people will be quite upset.",但您要是沒學完勒讓德數學著作的下一章節，恐怕不少人那裡就不好交代囉。
Lvl1.Text12,Ладно… Хорошо. Сегодня же закончу.,Fine… All right. I’ll finish it today.,好吧……知道了。我今天會學完的。
Lvl1.Text13,И только не усните тут.,And try not to fall asleep up here.,還有，可別在這裡睡著了。
Lvl1.Text14,Где была эта глупая книжка?,"Now, where was that silly book?",好了，那本愚蠢的書放哪裡了？
Lvl1.Text15,Вот она!,"Ah, here it is!",啊，在這裡呢！
Lvl1.Text16,Что произошло?! Откуда взялась эта дыра?!,What just happened?! Where did that hole come from?!,剛剛是怎麼回事？那個洞是從哪裡冒出來的？！
Lvl1.Text17,"Значит, это был всего лишь сон... Кажется, я задремала и не заметила, как наступил вечер.",So it was just a dream... Didn’t even notice it was evening.,原來只是一場夢……看來我是真睡著了，都沒注意到已經天黑了。
Lvl1.Text18,"Ах… Похоже, этот сон всё ещё не закончился.",Ah... It seems this dream still isn’t over.,啊……看樣子，這場夢還沒結束。
Lvl1.Text19,,,
Lvl1.Text20,,,
Lvl1.Text21,,,
Lvl1.Text22,,,
Lvl1.Text23,"Мадемуазель Софи, вот вы где! Опять на чердаке. Вы уже сделали всё, что было задано?","Mademoiselle Sophie, there you are! In the attic again. Have you finished everything you were told to do?",
Lvl1.Text24,"Еще нет, мадам.","Not yet, madam.",
Lvl1.Text25,"Тогда не теряйте времени зря. Разберитесь с учёбой, пока светло.",Then don’t waste any more time. Better finish your homework before it gets dark.,
Lvl1.Text26,Ладно… Хорошо. Сегодня же закончу.,Alright… I’ll finish it today.,
Lvl1.Text27,Нигде не спрятаться от этой учебы. Где была эта глупая книжка?,There’s no escape from studying. Where was that stupid book?,
Lvl1.Text28,,,
Lvl1.Text29,,,
Lvl1.Text30,,,
Lvl1.Text31,,,
Lvl1.Text32,,,
Lvl1.Text33,,,
Lvl1.Text34,,,
Lvl1.Text35,,,
