Key,Русский,English
Lvl8.Text1,Кажется… я помню это место. Это мой дом. Я провёл здесь детство.,It feels like… I remember this place. This is my home. I spent my childhood here.
Lvl8.Text2,,
Lvl8.Text3,,
Lvl8.Text4,Вы помните эту комнату?,Do you remember this room?
Lvl8.Text5,"Да. Это спальня моей старшей сестры, Наталь. Она на три года старше меня.",Yes. This was my older sister’s bedroom — Nathalie. She is three years older than me.
Lvl8.Text6,"В детстве была примерная до невозможности. Интересно, где она теперь…",As a child she was impossibly well-behaved. I wonder where she is now…
Lvl8.Text7,,
Lvl8.Text8,У вас есть брат?,Do you have a brother?
Lvl8.Text9,"Да, Альфред. На три года младше меня. Всегда сдеражанный, никогда не спорит. Вот бы его увидеть снова...","Yes, Alfred. Three years younger than me. Always so quiet, never argued. I wish I could see him again…"
Lvl8.Text10,,
Lvl8.Text11,А что вы помните про родителей?,And what about your parents?
Lvl8.Text12,"Я помню мать. Она проводила с нами много времени, пока мы были маленькими.",I remember my mother. She spent a lot of time with us when we were little.
Lvl8.Text13,"Учила латыни, читала вслух античных писателей. Всегда держалась прямо и смотрела так, что спорить не хотелось.","She taught us Latin, read the ancient authors aloud. Always held herself so straight, with a look that made you never want to argue."
Lvl8.Text14,,
Lvl8.Text15,"Ристу, похоже, вы из обеспеченной семьи. Даже ванная в доме есть.",Looks like you're from a wealthy family. You even have a bathroom in the house.
Lvl8.Text16,,
Lvl8.Text17,,
Lvl8.Text18,,
Lvl8.Text19,,
Lvl8.Text20,,
Lvl8.Text21,,
Lvl8.Text22,,
Lvl8.Text23,,
Lvl8.Text24,Ловушки становятся все сложнее. Куда привели нас в этот раз?,The traps keep getting trickier. What have they brought us to this time?
Lvl8.Text25,К этому письму. Давайте прочитаем его.,To this letter. Let’s read it.
Lvl8.Text26,"""Месье Николя-Габриэлю Галуа, мэру города Бур-ла-Рен.","“To Monsieur Nicolas-Gabriel Galois, Mayor of Bourg-la-Reine."
Lvl8.Text27,"Месье, имею честь уведомить вас, что ваш сын, месье Эварист Галуа, принят в число воспитанников Лицея Людовика Великого.","Monsieur, I have the honor to inform you that your son, Monsieur Evariste Galois, has been accepted as a student of the Louis the Great Academy."
Lvl8.Text28,Прошу вас принять уверения в моём глубочайшем почтении.,Please accept the assurances of my highest respect.
Lvl8.Text29,"Николя Берто, Директор Лицея Людовика Великого""","Nicolas Bertaud, Headmaster of the Louis the Great Academy.”"
Lvl8.Text30,"Вот это да, Ристу! Ваш отец был мэром целого горда! Вы что-нибудь помните об этом?","Good heavens, Ristou! Your father was the mayor of an entire town! Do you remember anything of it?"
Lvl8.Text31,"Да, теперь я ясно помню всю свою семью.","Yes, now I clearly remember my whole family."
Lvl8.Text32,И вы учились в таком престижном лицее!,And you studied at such a prestigious school!
Lvl8.Text33,"Именно в этом лицее мы и встретились, Софи.","That school is where we first met, Sophie."
Lvl8.Text34,"Значит, давайте вернемся туда. Мне кажется, светлячок хочет именно этого.",Then let’s go back there. I believe that is where the firefly wishes to lead us next.
Lvl8.Text35,"Да, поспешим!","Yes, let’s hurry!"
Lvl8.Text36,,
Lvl8.Text37,,
Lvl8.Text38,,
Lvl8.Text39,,
Lvl8.Text40,,
