Key,Русский,English,繁體中文
Lvl3.Text1,Здесь никого. Даже сторожа нет.,There’s no one here. Not even a guard.,這裡什麼人都沒有，連個守衛都沒有。
Lvl3.Text2,Для кого же тогда горят свечи?,Then who are the candles burning for?,那這些點燃的蠟燭是給誰看的呢？
Lvl3.Text3,Голова Сократа.,The head of Socrates...,蘇格拉底學院……
Lvl3.Text4,"Перечень предметов: греческий, латинский, риторика, история, геометрия...","List of subjects: Greek, Latin, Rhetoric, History, Geometry...",課程列表：希臘語、拉丁語、修辭學、歷史、幾何學……
Lvl3.Text5,"Распорядок дня: подъем, завтрак, первый урок, второй урок, третий урок...","Daily schedule: wake-up, breakfast, first lesson, second lesson, third lesson...",作息表：起床、早餐、第一節課、第二節課、第三節課……
Lvl3.Text6,Заперто. Здесь должен быть хоть кто-то... попробую позвать.,Locked. There has to be someone here… I’ll try calling out.,鎖上了。這裡肯定有人在……我要試著喊兩聲。
Lvl3.Text7,Эй! Есть здесь кто-нибудь?!,Hey! Is anyone here?!,喂！有人嗎？！
Lvl3.Text8,Никого...,No one...,沒有人……
Lvl3.Text9,Нужно торопиться — светлячок может улететь.,I need to hurry — the firefly might fly away.,我得快點——那隻螢火蟲可能已經飛遠了。
Lvl3.Text10,,,
Lvl3.Text11,,,
Lvl3.Text12,,,
Lvl3.Text13,Дверь заперта. Но здесь же не может быть пусто…,The door is locked. But this place can’t be empty…,門鎖上了。但這個地方不可能沒有人啊……
Lvl3.Text14,Эй! Кто-нибудь?! Отзовитесь!,Hey! Is anyone there?! Answer me!,喂！有人嗎？！應一聲啊！
Lvl3.Text15,Тишина...,Silence…,一片寂靜……
Lvl3.Text16,,,
Lvl3.Text17,,,
Lvl3.Text18,,,
Lvl3.Text19,"О, нет... Снова это странное место...",Oh no… Not this strange place again…,不要啊……又是這個奇怪的地方……
Lvl3.Text20,,,
Lvl3.Text21,,,
Lvl3.Text22,,,
Lvl3.Text23,,,
Lvl3.Text24,"Мадемуазель, вы тоже это видели?","Mademoiselle, did you see that too?",小姐，你也看到了嗎？
Lvl3.Text25,"Да… И, если честно, подобное случалось со мной и раньше.","Yes… And to be honest, it’s not the first time something like this has happened to me.",是的……而且，說真的，我已經不是第一次碰上這種情況了。
Lvl3.Text26,Раньше? Что вы имеете в виду?,Not the first time? What do you mean?,不是第一次？你是說？
Lvl3.Text27,Обсудим это позже. Сейчас главное — не упустить светлячка.,"We’ll talk about it later. Right now, we can’t lose the firefly.",我們過後再聊吧。目前要緊的是，我們不能把那隻螢火蟲跟丟了。
Lvl3.Text28,"Нет, подождите! Я должен вас предупредить. Это опасно!","No, wait! I have to warn you. It’s dangerous!",不，等等！我必須提醒你一聲，這很危險！
Lvl3.Text29,Опасно? О чем вы говорите?,Dangerous? What are you talking about?,危險？你是什麼意思？
Lvl3.Text30,"Я сказал вам, что до вас здесь никого не встречал… Но это не совсем правда.",I told you I hadn’t met anyone else here before… but that wasn’t entirely true.,我和你說過，我在這裡從來沒遇到過其他人……但這個說法不完全準確。
Lvl3.Text31,Однажды я столкнулся с… существом. Я уверен — это был не человек.,I once encountered… a creature. I’m certain it wasn’t human.,我曾經遇到過……一個生物。我很確定，那不是人類。
Lvl3.Text32,Тогда кто же?,Then what was it?,那它是什麼？
Lvl3.Text33,"Я не знаю. Единственное, в чем я уверен — это создание украло мои воспоминания.",I don’t know. The only thing I do know is that it stole my memories.,我不知道。我只知道，它偷走了我的記憶。
Lvl3.Text34,Что?,What?,什麼？
Lvl3.Text35,"Я не помню, кем был до того, как оказался здесь. Даже своего имени не знаю…",I don’t remember who I was before I ended up here. I don’t even know my own name...,我忘記了自己來這裡之前的身份，我甚至連自己的名字都不記得了……
Lvl3.Text36,"И боюсь, что с вами может случиться то же самое.",And I’m afraid the same thing might happen to you.,而且，我很擔心，你可能也遇到了同樣的事。
Lvl3.Text37,"Это печально, месье… В таком случае, дайте мне слово. Если со мной произойдет то же, что и с вами, пообещайте сказать мне мое имя.","That’s very sad, monsieur… In that case, give me your word. If the same thing happens to me — if I forget — promise me you’ll tell me my name.",這太令人難過了，先生……既然如此，請你答應我，如果我也遇到了同樣的事——如果我失去了記憶——向我保證，你會告訴我我的名字。
Lvl3.Text38,Меня зовут Софи. Запомните это имя.,My name is Sophie. Remember it.,我的名字是索菲。請幫我記住它。
Lvl3.Text39,"Хорошо, Софи. Я обещаю.","All right, Sophie. I promise.",好的，索菲。我向你保證。
Lvl3.Text40,А теперь давайте поспешим. Мы не должны потерять светлячка.,Now let’s hurry. We can’t lose the firefly.,好了，該抓緊了。我們可不能把那螢火蟲跟丟了。
Lvl3.Text41,,,
Lvl3.Text42,,,
Lvl3.Text43,,,
Lvl3.Text44,,,
Lvl3.Text45,"Мадемуазель, вы тоже это видели?","Mademoiselle, did you see that too?",
Lvl3.Text46,"Да… И, если честно, подобное случалось со мной и раньше.",Yes… And it’s not the first time I’ve experienced something like this.,
Lvl3.Text47,Но сейчас не до этого — я не хочу упустить светлячка.,But not now — we can’t let the firefly get away.,
Lvl3.Text48,"Нет, подождите! Я должен вас предупредить. Это опасно!","No, wait! I must warn you. It’s dangerous!",
Lvl3.Text49,Что вы имеете в виду?,What do you mean?,
Lvl3.Text50,Однажды я столкнулся с… существом. Я уверен — это был не человек. После встречи с ним… я потерял все свои воспоминания!,"Once, I encountered… a creature. I’m certain it wasn’t human. This creature stole all my memories!",
Lvl3.Text51,"Я не помню, кем был до той встречи со светлячком. Даже своего имени не знаю…",I no longer remember who I was before. I don’t even know my own name…,
Lvl3.Text52,"И боюсь, что с вами может случиться то же самое.",And I’m afraid the same thing might happen to you.,
Lvl3.Text53,"Это и правда звучит ужасно… и, честно говоря, мне трудно в такое поверить.","That sounds terrible… And honestly, it’s hard to believe.",
Lvl3.Text54,"Но всё, что происходит здесь, — безумие. Так что я вам верю.",But everything happening here is madness. So I believe you.,
Lvl3.Text55,"Если и меня настигнет эта участь, скажите мне моё имя. Меня зовут Софи.","If the same thing happens to me, you must promise to tell me my name. It’s Sophie.",
Lvl3.Text56,"Хорошо, Софи. Я обещаю.","Very well, Sophie. I promise.",
Lvl3.Text57,А теперь давайте поспешим. Мы не должны потерять светлячка.,Now let’s hurry. We cant lose the firefly.,
Lvl3.Text58,,,
Lvl3.Text59,,,
Lvl3.Text60,,,
Lvl3.Text61,,,
Lvl3.Text62,,,
Lvl3.Text63,,,
